zenodo_id	title	url	data_type	prob_eye_imaging	img_files	archives	size_mb
12681495	FIGURE 4 in A new intertidal barnacle, Chthamalus ngankeeae sp. nov. (Balanomorpha: Chthamalidae) from the Malaysian Peninsula and western Borneo wate	https://zenodo.org/records/12681495	data_files	0.807	1	0	10.3
6339707	DeepCAD-RT dataset: zebrafish optic tectum neurons	https://zenodo.org/records/6339707	data_files	0.807	2	0	6476.2
12832558	Fig. 2 in Tegumental topography and molecular characterisation of two trematodes (Platyhelminthes: Digenea) from Clarias gariepinus (Burchell, 1822) i	https://zenodo.org/records/12832558	data_files	0.806	1	0	1.2
10675798	FIGURE 5 in Taxonomic revision of the jumping spider genus Tullgrenella Mello-Leitão, 1941 (Araneae: Salticidae: Freyina)	https://zenodo.org/records/10675798	data_files	0.806	1	0	4.3
10966172	IRIS Carbon Mapping Project: Curated Dataset	https://zenodo.org/records/10966172	data_files	0.804	0	1	0.2
284369	FIGURE 41 in Morphological and taxonomic revision of species of Squatina from the Southwestern Atlantic Ocean (Chondrichthyes: Squatiniformes: Squatin	https://zenodo.org/records/284369	data_files	0.804	1	0	1.5
5391401	FIG. 3 in A new genus and species of barnacle (Cirripedia, Verrucomorpha) associated with vents of the Lau Back-Arc Basin: its gross morphology, infer	https://zenodo.org/records/5391401	data_files	0.802	1	0	0.3
4318390	Figures 30-38 from: Senarat S, Kettratad J, Kaneko G, Kamnurdnin T, Sudtongkong C (2020) The microanatomy of the central nervous system and brain of t	https://zenodo.org/records/4318390	data_files	0.801	1	0	0.8
13620126	FIGURE 10 in Endocranial morphology of the extinct Antillean shrew Nesophontes (Lipotyphla: Nesophontidae) from natural and digital endocasts of Cuban	https://zenodo.org/records/13620126	data_files	0.801	1	0	0.7
13172100	Fig. 7 Subesophageal neuropils. 3D in Comparative 3D microanatomy and histology of the eyes and central nervous systems in coleoid cephalopod hatchlin	https://zenodo.org/records/13172100	data_files	0.801	1	0	3.2
16943532	Hispanirhynchia cornea	https://zenodo.org/records/16943532	related_dataset	0.8	0	0	0.0
13172096	Fig. 6 in Comparative 3D microanatomy and histology of the eyes and central nervous systems in coleoid cephalopod hatchlings	https://zenodo.org/records/13172096	data_files	0.8	1	0	6.1
6466446	Fast raster-scan optoacoustic mesoscopy enables assessment of human melanoma microvasculature in vivo	https://zenodo.org/records/6466446	data_files	0.8	4	0	437.4
10521898	Fershwater Lens	https://zenodo.org/records/10521898	data_files	0.799	0	1	0.6
933953	Figure 4 from: Chan B (2011) Tetraclita ehsani sp. n. (Cirripedia, Tetraclitidae), a common intertidal barnacle from the Gulf of Oman, Iran. ZooKeys 1	https://zenodo.org/records/933953	data_files	0.797	1	0	1.0
4664838	FIG. 36 in Bothriolepid antiarchs (Vertebrata, Placodermi) from the Devonian of the north-western part of the East European Platform	https://zenodo.org/records/4664838	data_files	0.796	1	0	0.1
4928322	PLATE 4 in Hadzinia ferrani, sp. n. (Opiliones: Nemastomatidae), a highly specialized troglobiotic harvestman from Slovenia	https://zenodo.org/records/4928322	data_files	0.795	1	0	6.0
6606471	Sub-diffusion flow velocimetry with number fluctuation optical coherence tomography	https://zenodo.org/records/6606471	data_files	0.793	0	4	29722.2
8033335	Figure 2. Echinoplana celerrima. a in Taxonomy of subtidal marine Polyclads from Tabarka (northwest Tunisia) with remarks on their habitat preferences	https://zenodo.org/records/8033335	data_files	0.793	1	0	3.7
14829344	Figure 10 in Neurovascular anatomy of the protostegid turtle Rhinochelys pulchriceps and comparisons of membranous and endosseous labyrinth shape in a	https://zenodo.org/records/14829344	data_files	0.792	1	0	1.1
4635001	Figure 10 in The genus Teliocrinus (Crinoidea, Echinodermata): a key taxon among pentacrinid stalked crinoids	https://zenodo.org/records/4635001	data_files	0.792	1	0	0.2
